Year,Country,Air Pollution Index,CancerDeath,Inflation,Count,AvgTemperature,GDP
1998,Belize,0.002867725,161.207588308,-0.7833333333333333,230244,72.5386301369863,689140000.0
1999,Belize,0.003124879,166.020385791,-0.6366666666666666,238988,77.3682191780822,732732350.0
2000,Belize,0.003619924,168.90818475499998,1.6033333333333333,247315,79.92896174863388,832072450.0
2001,Belize,0.004109894,174.70661105599996,0.7200000000000001,255063,80.46054794520548,868358750.0
2002,Belize,0.003505108,175.761167799,0.55,262378,78.89342465753424,925197950.0
2003,Belize,0.003475964,176.83780362499996,3.15,269425,79.47068493150685,983575600.0
2004,Belize,0.003694603,177.51167328699998,3.306666666666666,276504,76.43606557377049,1051386600.0
2005,Belize,0.003535453,177.48063546299997,3.776666666666667,283800,74.75808219178083,1102564900.0
2006,Belize,0.003588458,183.50023479600003,4.16,291329,80.6372602739726,1210603750.0
2007,Belize,0.003605044,190.489257504,3.143333333333333,299025,65.4227397260274,1271598050.0
2008,Belize,0.002760073,201.001678429,7.963333333333334,306823,72.36338797814207,1351338650.0
2009,Belize,0.002816541,210.212803859,-1.2633333333333334,314655,78.62328767123287,1317309450.0
2010,Belize,0.002955395,219.865326149,-0.0300000000000001,322464,78.95013698630137,1377177100.0
2011,Belize,0.003024921,226.09297074599996,1.7133333333333336,330237,81.43232876712328,1460797903.0
2012,Belize,0.003741515,235.368055927,2.233333333333333,338000,81.09836065573771,1522897506.0
2013,Belize,0.003654099,243.255082524,0.7866666666666666,345715,80.7613698630137,1579411253.0
2014,Belize,0.003590079,250.695449802,1.1933333333333334,353366,79.84219178082192,1667335061.0
2015,Belize,0.003591914,258.011172092,-0.4466666666666666,360933,80.68032786885246,1721700991.0
2016,Belize,0.003560574,266.640064252,0.43,368400,79.34918032786885,1789304088.0
1995,Benin,0.04655555,2986.0865708680003,16.78,5905558,73.26356164383562,2169627251.0
1996,Benin,0.052805338,3097.880298111,4.0600000000000005,6094259,77.9844262295082,2361116588.0
1997,Benin,0.053707119,3146.438430564,3.606666666666667,6281639,77.45589041095892,2268301538.0
1998,Benin,0.05311159,3218.083624054,5.890000000000001,6470265,37.593972602739726,2455092582.0
1999,Benin,0.052688516,3276.083882946,-0.27,6664098,74.35698630136986,3677394292.0
2000,Benin,0.044703644,3376.3160941180004,4.193333333333333,6865951,53.234153005464485,3519991326.0
2001,Benin,0.046990227,3463.362810838,3.37,7076733,80.55479452054794,3666222600.0
2002,Benin,0.049800287,3561.434136811,3.7566666666666655,7295394,78.42164383561644,4194342849.0
2003,Benin,0.052240168,3659.6214961710007,1.4800000000000002,7520555,74.90821917808219,5349258334.0
2004,Benin,0.053843608,3779.352046594001,0.5433333333333333,7750004,81.28360655737704,6190270756.0
2005,Benin,0.05638373,3893.564853955,7.373333333333332,7982225,81.57123287671233,6567654494.0
2006,Benin,0.063031973,4022.182020428,3.43,8216897,68.69150684931508,7034111651.0
2007,Benin,0.067495339,4152.330094709001,-0.0633333333333333,8454793,80.23972602739725,8169048690.0
2008,Benin,0.06865325,4319.536324982,10.273333333333332,8696921,73.81338797814207,9787735426.0
2009,Benin,0.071860158,4530.816306814001,2.8966666666666665,8944708,81.03643835616438,9738626993.0
2010,Benin,0.073508773,4728.274949714001,3.323333333333333,9199259,82.55835616438355,9535344283.0
2011,Benin,0.075569172,4927.603676738,3.4800000000000004,9460830,80.98,10693321954.0
2012,Benin,0.07717832,5112.448744006999,4.36,9729248,81.21366120218579,11141358945.0
2013,Benin,0.085133288,5291.302419205999,0.98,10004588,81.1090410958904,12517845732.0
2014,Benin,0.089571223,5470.770212844001,-0.27,10286842,79.64630136986301,13284528654.0
2015,Benin,0.104205147,5664.356376460001,0.19,10575952,80.5743169398907,11388160958.0
2016,Benin,0.105477069,5872.163160360001,-0.6933333333333334,10872067,80.19808743169399,11821066153.0
1995,Bolivia,0.05248668,6825.243662595998,10.03,7622338,45.5868493150685,6715220507.0
1996,Bolivia,0.051788636,6851.552444493999,14.243333333333334,7779267,44.21229508196721,7396966657.0
1997,Bolivia,0.050953049,6943.422156664001,5.0,7937458,45.04547945205479,7925673448.0
1998,Bolivia,0.052631796,6995.269497509999,7.19,8096761,45.34602739726027,8497545598.0
1999,Bolivia,0.051158588,7067.629802140001,3.286666666666667,8257066,43.94794520547945,8285075872.0
2000,Bolivia,0.0555078,7112.62050772,6.836666666666667,8418264,43.89699453551913,8397912509.0
2001,Bolivia,0.054355313,7173.790525630001,2.2,8580235,44.41643835616439,8141537938.0
2002,Bolivia,0.055060593,7339.72690293,1.4766666666666666,8742814,43.7627397260274,7905485216.0
2003,Bolivia,0.056667416,7480.573211670002,3.9133333333333336,8905823,44.56438356164384,8082364868.0
