"Stkcd","Trdmnt","Mnshrtrd","Mnvaltrd","Msmvosd"
"000039","2017-06","468994715","8059422232.4899998","22755461.98"
"000039","2017-05","390629251","6327632131.46","20128773.210000001"
"000039","2017-04","290144226","4952712568.5500002","20406411.460000001"
"000039","2017-03","222096524","3635076990.3699999","20318072.02"
"000039","2017-02","234307369","3921207889.6799998","21277185.98"
"000039","2017-01","162016729","2511445341.96","19954254.059999999"
"000039","2016-12","211314155","3181356858.52","18436583.91"
"000039","2016-11","441436759","6898399515.4899998","19268878.399999999"
"000039","2016-10","93598764","1326829746.25","17576949.5"
"000039","2016-09","138206471","1950594358.0999999","17740866.530000001"
"000039","2016-08","279297858","4014033162.27","17803911.539999999"
"000039","2016-07","275527149","3960263936.04","17349987.449999999"
"000039","2016-06","153471977","2172665786.75","17866892.789999999"
"000039","2016-05","129694050","1817894589.99","18048599.370000001"
"000039","2016-04","261125684","3992524177.5100002","18388901.170000002"
"000039","2016-03","487543193","7532418591.2299995","19384599.039999999"
"000039","2016-02","218607821","3106605045.3200002","16901656.25"
"000039","2016-01","274286951","4445841186.9799995","16636977.07"
"000039","2015-12","527467404","11099965717.709999","26467918.07"
"000039","2015-11","478062952","9713847235.7999992","23737851.539999999"
"000039","2015-10","348719685","6681531437.7299995","23599694.73"
"000039","2015-09","377461048","7111822690.1999998","21565021.739999998"
"000039","2015-08","694171177","16048340031.01","24566792.390000001"
"000039","2015-07","1497142355","35527198482.110001","28849653.43"
"000039","2015-06","1434194360","43767656896.5","40567862.689999998"
"000039","2015-05","854989854","22656346270.93","32639416.629999999"
"000039","2015-04","1031896529","26777514818.91","31894507.920000002"
"000039","2015-03","650767223","13846094779.98","28145134.079999998"
"000039","2015-02","181701885","3523114853.3200002","24879950.899999999"
"000039","2015-01","441729499","9045285899.7700005","23613606.09"
"000039","2014-12","1084968710","22914003458.419998","27176752.760000002"
"000039","2014-11","445420391","7944692147.2200003","22512057.550000001"
"000039","2014-10","326250795","5226820126.79","20959930.030000001"
"000039","2014-09","284383828","4424370240.4200001","19159462.109999999"
"000063","2019-08","1959765772","57701769082.709999","98936858.709999993"
"000063","2019-07","1686791845","55404581565.889999","113033069.79000001"
"000063","2019-06","2503173555","78125330514.619995","111693978.13"
"000063","2019-05","2278597597","66514252051.169998","98749425.489999995"
"000063","2019-04","3088379551","101518834560.09","110389222.16"
"000063","2019-03","2986181912","88106991818.100006","100260195.56"
"000063","2019-02","2512610492","65354159961.169998","102336905.42"
"000063","2019-01","1841856001","37112114958.730003","69060240.540000007"
